example_english,example_korean
I read a biography about a brave person.,용감한 사람의 전기를 읽었어요.
The doctor uses biomedical tools to help people.,의사가 생체 의학의 도구를 사용해 사람들을 도와요.
A bird sings in the tall tree.,새가 큰 나무 위에서 노래하고 있어요.
A baby's birth makes our hearts happy.	,아기의 출생은 우리 마음을 기쁘게 해요.
My birthday is happy.,내 생일이 행복해요.
I blend fruits for a healthy drink.,나는 건강한 음료를 만들기 위해 과일들을 섞어요.
We blend orange and yellow to make pretty colors.,우리는 주황색과 노란색을 섞어 예쁜 색을 만들어요.
The blend of paint makes a pretty picture.,페인트의 혼합이 예쁜 그림을 만들어요.
The blender makes a tasty smoothie.,믹서기가 맛있는 스무디를 만들고 있어요.
The baby will blink at the bright light.,아기가 밝은 빛에 눈을 깜박여요.
I block out bright light with my hat.,나는 모자로 밝은 빛을 차단해요.
I write on my blog every day.,저는 매일 블로그에 글을 올려요.
Blood is in our body.,우리 몸 안에 피가 있어요.
The plant blossoms when it gets lots of sunshine.,식물이 많은 햇빛을 받으면 번영해요.
I feel blue on rainy days.,비 오는 날에 우울해요.
We board a bus to school.,우리는 학교로 가는 버스에 탑승해요.
The board meets on Monday.,이사회가 월요일에 모여요.
The teacher writes on the board.,선생님이 칠판에 글을 쓰고 있어요.
The teacher writes on the board.,선생님이 칠판에 써요.
We play a fun game on the board.,우리 보드에서 재미있는 게임을 해요.
I put my drawing on the board.,나는 그림을 게시판에 붙였어요.
My dad and I ride	the boat on a sunny day.,아빠와 저는 오늘 맑은 날 보트를 타요.
I exercise to make my body strong.,나는 내 몸을 튼튼하게 만들기 위해 운동해요.
The body of our club meets after school.,우리 단체가 방과 후에 모여요.
We read the body of the article in class.,우리 반에서 기사의 본론을 읽었어요.
The boiling water in the kettle is very hot.,주전자 안의 끓는 물이 매우 뜨거워요.
The bold boy climbed a tall tree.,대담한 소년이 높은 나무를 올랐어요.
I drew a bold line on paper.	,나는 종이에 굵은 선을 그렸어요.
She boldly climbed the tall tree.,그녀가 용감하게 높은 나무를 올랐어요.
The dog chews a bone. 	 The dog enjoys a tasty bone.,강아지가 뼈를 씹어요. 	 강아지가 맛있는 뼈를 즐기고 있어요.
I book a movie ticket for Friday.,나는 금요일에 영화표를 예약해요.
I read a book.,나는 책을 읽어요.
I put a bookmark in my book.,나는 내 책에 책갈피를 꽂아요.
I put my books on the bookshelf.,내 책들을 책꽂이에 놓았어요.
I go to the bookstore with my mom.,나는 엄마와 함께 서점에 가요.
The booth is a quiet space	for a little break.,칸막이가 있는 작은 공간에서 잠깐 쉬어요.
The red fence borders our school.,빨간 울타리가 우리 학교에 접해 있어요.
The border is a line that divides two countries.,경계는 두 나라를 나누는 선이에요.
The border is a red line on the map.,국경은 지도 위에 있는 빨간 선이에요.
I feel bored during recess.,쉬는 시간에 지루해요.
The game is boring.,게임이 지루해요.
I borrow a pencil from my friend.,나는 친구에게서 연필을 빌려요.
Both my friend and I share toys.,친구와 저는 장난감을 나눠요.
Sam plays with both a ball and a frisbee.,샘은 공과 프리스비 둘 다 가지고 놀아요.
I have a red bottle.,나는 빨간 병이 있어요.
The ball is at the bottom.,공이 밑바닥에 있어요.
I box with my friend after school.	,나는 방과 후에 친구와 권투를 해요.	
I put my toy in a box.,나는 내 장난감을 상자에 넣었어요.
We stand in line at the box office.,우리는 매표소에서 줄을 서요.
A boy is playing in the park.	,소년이 공원에서 놀고 있어요.	
My dad gave me a brand-new ball.,아빠가 아주 새 것인 공을 주셨어요.
I play	with my brand-new toy.,나는 완전 새로운 장난감으로 놀아요.
The brave boy rescued a kitten.,용감한 소년이 새끼 고양이를 구했어요.
The Brazilian flag is bright.,브라질의 깃발은 밝아요.
I eat	bread for lunch.,나는 점심에	빵을 먹어요.
News breaks when a big event happens.,큰 사건이 일어나면 뉴스가 터져요.
I break my toy by accident.,나는 실수로 장난감을 부수었어요.
Don't break the toy.,장난감을 깨지 마세요.
I break my record when I jump high.,나는 높이 뛰면 내 기록을 깨요.
"If you drop the toy, it may break.",장난감을 떨어뜨리면 부러질 수 있어요.
Please do not break the toy.,장난감을 망가뜨리지 마세요.
You must not break the rules.,너는 규칙을 어기면 안돼요.
Let's take a short break now.,잠깐 휴식 시간을 가져요.
I love my break.,저는 방학을 좋아해요.
I got a break to play with my friend.,친구와 놀 기회가 생겼어요.
"If you break a rule, you must apologize.",규칙을 어기면 사과해야 해요.
The toy car may break down if you push it too hard.,장난감 자동차가 너무 세게 밀면 고장 날 수 있어요.
We break down a big tower of blocks.,우리는 큰 블록 탑을 부수어요.
We break down the toy to see its parts.,우리는 장난감을 분해해서 부품을 봐요.
A mouse might break into the kitchen.,쥐가 주방에 침입할 수도 있어요.
Our team will break into the finals.,우리 팀이 결승에 진출할 거예요.
My skin breaks out with red dots.,내 피부에 빨간 점이 잔뜩 나요.
A fire breaks out in the park.,공원에서 불이 발생해요.
The hero will break through the dark cave.,영웅이 어두운 동굴을 뚫고 나아가요.
I eat breakfast every morning.,나는 매일 아침 아침식사를 먹어요.
Breaktime is fun because we rest and play.,쉬는 시간은 즐거워서 우리는 쉬고 놀아요~요.
Breathing helps you feel happy.,호흡이 네 기분을 좋게 해요.
The blue bridge crosses the calm river.,푸른 다리가 잔잔한 강을 건너고 있어요.
My future is bright and full of hope.,내 앞날은 밝고 희망이 가득해요.
The bright boy solved a puzzle.,똑똑한 소년이 퍼즐을 풀었어요.
You are a bright and smart kid.,너는 밝고 똑똑한 아이예요.
The sun shines brightly in the sky.	,태양이 하늘에서 밝게 빛나고 있어요.
I will bring my lunch to school.,내가 학교에 점심을 가져올게요.
Mom will bring my teddy to school.,엄마가 내 곰인형을 학교에 데려오세요.
The photo brings a nice memory.,그 사진이 좋은 기억을 떠오르게 해요.
Please bring your toy here.,장난감을 여기로 가져오세요.
A smile can bring about joy.,미소가 기쁨을 초래해요.
This photo brings back summer fun.,이 사진이 여름의 즐거움을 상기시키고 있어요.
A song can bring back fun memories.,노래가 즐거운 기억을 생각나게 해요.
Please bring back my toy from school.,학교에서 제 장난감을 돌려주세요요.
Dad will bring back the lost dog.,아빠가 잃어버린 개를 다시 데리고 올 거예요.
Our game will bring out smiles.,우리 게임이 미소를 끌어내요.
Grandma will bring out the puppy for a walk.	,할머니가 강아지를 데리고 산책할 거예요.
Silly jokes bring out smiles among friends.,웃기는 농담이 친구들의 얼굴에 웃음을 야기해요.
The author will bring out a new book today.,작가가 오늘 새로운 책을 출간해요.
The British teacher reads a fun story.,영국 선생님이 재미있는 이야기를 읽고 있어요.
The teacher will broadcast our class news on TV.,선생님이 우리 반 소식을 TV로 방송해요.
The broadcast is on TV today.,오늘 TV에서 방송을 봐요.
The broken clock is on the table.,고장난 시계가 테이블 위에 있어요.
My toy is broken.,내 장난감이 부러졌어요.
My broken drawing shows many mistakes.,내 그림은 실수투성이에요.
The broken ball is under the chair.,깨진 공이 의자 아래에 있어요.
I won a bronze medal in the race.,저는 경주에서 동메달을 받았어요.
The bronze bell rings in the park.,청동 종이 공원에서 울려요.
The witch rides her broomstick.,마녀가 빗자루를 타고 날아요.
My brother is my best friend.,내 형제는 내 가장 친한 친구예요.
My brother and I love to play.,오빠와 나는 함께 놀아요.
I brush my teeth every day.,나는 매일 이를 닦아요.
A bee brushed a flower with its wings.,벌이 날개로 꽃을 스쳤어요.
I brush my teeth every morning.,나는 매일 아침 이를 솔질해요.
I brushed off the snow from my hat.,나는 모자에서 눈을 털어줬어요.
I brush my teeth after breakfast.,나는 아침 식사 후에 이를 닦아요.
I brush my teeth every morning.,나는 매일 아침 양치질해요.
I fill the bucket with water.,나는 양동이에 물을 채우고 있어요.
I have a bucket list of fun things to do.	,저는 재미있는 일을 위해 죽기 전에 해야 할 목록이 있어요.
Let's build a sandcastle at the beach.,해변에서 모래성을 지어봐요.
We build up our friendship by sharing toys.,우리는 장난감을 나누면서 우정을 형성해요.
We build up our skills by playing fun games.,우리는 재미있는 게임으로 실력을 증진해요.
We build up a tall castle with blocks.,우리는 블록으로 높은 성을 쌓아 올려요.
The bull is standing in the green field.,황소가 초록 들판에 서 있어요.
I bump into my friend at school today. 	,학교에서 친구와 우연히 마주쳤어요.
I bump into the wall while running.,나는 달리다가 벽에 부딪혀요.
I eat a burger at lunch.,나는 점심에 햄버거를 먹어요.
"Do not play with fire,	it can burn you.","불장난하지 마세요,	불에 닿으면 탈 수 있어요."
Do not burn your hand on hot stove.,뜨거운 난로에 손을 태우지 마세요.
"When she lost her toy,	she burst into tears.","장난감을 잃어버리자,	그녀는 울음을 터뜨렸어요."
My mom runs a small business.,엄마가 작은 사업을 해요.
The businessman is counting his money.,사업가가 돈을 세고 있어요.
The businessperson starts a new shop.,사업가가 새로운 가게를 열어요.
The phone is busy now.,전화가 지금 통화 중이에요.
Mom is busy cooking lunch.,엄마가 점심을 준비하느라 바빠요.
"I eat apples, but I eat oranges too.","나는 사과를 먹지만, 오렌지도 먹어요."
"I like apples, but I like bananas.",나는 사과를 좋아하지만 바나나도 좋아해요.
A butterfly lands on a pretty flower.,나비가 예쁜 꽃 위에 앉아요.
